Year,Month,State,City,Vicinity,Sucess,Suicide,Attack type,Target,Terrorist Group,No of terrorists,Weapon type,Killed,Wounded
1972,2,Delhi,New Delhi,0,1,0,Hijacking,Airports,Palestinians,5,Explosives,0,0
1975,1,Bihar,Samastipur,0,1,0,Bombing,Government,Ananda Marga,-99,Explosives,4,0
1976,5,Delhi,New Delhi,0,1,0,Bombing,Airports,Unknown,0,Explosives,0,0
1977,9,Maharashtra,Bombay,0,1,0,Hijacking,Airports,JRA,5,Firearms, Grenades,0
1979,1,Assam,Unknown,0,1,0,Armed Assault,Police,Naga People,0,Firearms,0,0
1979,1,Manipur,Imphal,0,1,0,Assassination,Government,Unknown,0,Firearms,3,0
1979,4,Manipur,Unknown,0,1,0,Armed Assault,Police,Meitei extremists,3,Firearms,4,0
1979,6,Mizoram,Unknown,0,1,0,Assassination,Government,Mizo National Front,0,Firearms,1,0
1979,7,Assam,Unknown,0,1,0,Armed Assault,Government,Mizo National Front,0,Firearms,2,2
1979,7,Mizoram,Aizawl,0,1,0,Facility,Police,Mizo National Front,0,Unknown,0,0
1979,7,Mizoram,Aizawl,0,1,0,Facility,Telecommunication,Mizo National Front,0,Unknown,0,0
1979,8,Andhra Pradesh,Amapur,0,1,0,Unknown,Private Citizens,Mizo National Front,60,Unknown,1,1
1979,8,Unknown,Raisikah,0,1,0,Armed Assault,Police,Mizo National Front,0,Firearms,1,0
1979,8,Mizoram,Champhai,0,1,0,Armed Assault,Police,Mizo National Front,1,Firearms,1,0
1979,8,Mizoram,Aizawl,0,1,0,Assassination,Government,Mizo National Front,0,Firearms,1,0
1979,8,Jharkhand,Jamshedpur,0,1,0,Bombing,Institutions,Muslims,0,Explosives,1,0
1979,8,Delhi,New Delhi,0,1,0,Armed Assault,Government,Mizo National Front,0,Firearms,1,1
1979,8,Delhi,New Delhi,0,1,0,Armed Assault,Police,Mizo National Front,0,Firearms,1,0
1979,8,Jharkhand,Jamshedpur,0,1,0,Bombing,Private Citizens,Muslims,0,Explosives,3,14
1979,9,Tamil Nadu,Chennai,0,1,0,Bombing,Transportation,Naxalites,0,Explosives,3,0
1979,9,Manipur,Unknown,0,1,0,Armed Assault,Police,India,0,Firearms,4,0
1979,12,Uttar Pradesh,Unknown,0,0,0,Assassination,Government,Unknown,8,Firearms,0,0
1979,12,Manipur,Unknown,0,1,0,Assassination,Government,Maoists,2,Unknown,1,0
1979,12,Bihar,Unknown,0,1,0,Armed Assault,Police,Naxalites,4,Firearms, Rifle,0
1980,1,Manipur,Imphal,0,1,0,Assassination,Government,Maoists,0,Unknown,1,0
1980,1,Manipur,Unknown,0,1,0,Armed Assault,Government,Maoists,0,Firearms, Rifle,0
